country,timeline.7/21/25
Afghanistan,22964750
Albania,3088966
Algeria,15267442
Andorra,157072
Angola,27819132
Anguilla,24604
Antigua and Barbuda,136512
Argentina,116978521
Armenia,2256919
Aruba,174914
Australia,69686752
Austria,20468731
Azerbaijan,13857111
Bahamas,366359
Bahrain,3476633
Bangladesh,361742554
Barbados,384049
Belarus,22511000
Belgium,31469387
Belize,510717
Benin,4232541
Bermuda,132042
Bhutan,2011426
Bolivia,14690530
Caribbean Netherlands,35845
Bosnia,1924950
Botswana,3171667
Brazil,486436436
British Virgin Islands,41453
Brunei,1293100
Bulgaria,4726614
Burkina Faso,7893609
Burundi,42252
Cambodia,47826645
Cameroon,4880572
Canada,102877159
Cabo Verde,859940
Cayman Islands,152148
Central African Republic,3342248
Chad,9151765
Chile,66864900
China,3491077000
Colombia,90931192
Comoros,835021
Congo,833210
Cook Islands,40854
Costa Rica,13576935
Côte d'Ivoire,25263932
Croatia,5374628
Cuba,45995747
Curaçao,260324
Cyprus,1798610
Czechia,19047108
DRC,18808671
Denmark,14961517
Djibouti,442199
Dominica,67647
Dominican Republic,16430339
Ecuador,39564195
Egypt,112673535
El Salvador,11289175
Equatorial Guinea,488738
Estonia,2171623
Swaziland,870205
Ethiopia,68856793
Faroe Islands,103894
Falkland Islands (Malvinas),4407
Fiji,1555182
Finland,13327120
France,154493266
French Polynesia,502952
Gabon,572672
Gambia,1444492
Georgia,2930677
Germany,192221468
Ghana,25624828
Gibraltar,132810
Greece,22467978
Greenland,79738
Grenada,90686
Guatemala,20362104
Guernsey,178525
Guinea,12049511
Guinea-Bissau,920752
Guyana,960133
Haiti,680104
Honduras,17074861
Hong Kong,21014839
Hungary,16701238
Iceland,805469
India,2206868000
Indonesia,448199860
Iran,155461757
Iraq,19557364
Ireland,11148281
Isle of Man,189994
Israel,18649248
Italy,144608839
Jamaica,1528445
Japan,383747738
Channel Islands,266953
Jordan,10057975
Kazakhstan,38355605
Kenya,23750431
Kiribati,219980
Kuwait,8261221
Kyrgyzstan,3661335
Lao People's Democratic Republic,11111066
Latvia,2895716
Lebanon,5814699
Lesotho,1339097
Liberia,4460668
Libyan Arab Jamahiriya,3739158
Liechtenstein,74337
Lithuania,4604865
Luxembourg,1374547
Macao,1802985
Madagascar,3092063
Malawi,8503954
Malaysia,72657288
Maldives,951764
Mali,5922585
Malta,1408793
Mauritania,4075874
Mauritius,2616012
Mexico,223158993
Moldova,2293086
Monaco,65140
Mongolia,5492919
Montenegro,679171
Montserrat,4619
Morocco,55389602
Mozambique,34950858
Myanmar,93477104
Namibia,1005937
Nauru,32157
Nepal,62627629
Netherlands,39764182
New Caledonia,480702
New Zealand,13398398
Nicaragua,15507763
Niger,7372208
Nigeria,133048021
Niue,4923
Macedonia,1862987
Norway,12145560
Oman,7108547
Pakistan,340974144
Palestine,3748571
Panama,8893001
Papua New Guinea,737695
Paraguay,9745545
Peru,91412580
Philippines,189317158
Pitcairn,117
Poland,58032403
Portugal,28314797
Qatar,7609178
Romania,16827486
Russia,187374508
Rwanda,27322059
Saint Helena,7892
Saint Kitts and Nevis,64297
Saint Lucia,122977
Saint Vincent and the Grenadines,73443
Samoa,453083
San Marino,69338
Sao Tome and Principe,263863
Saudi Arabia,68534631
Senegal,3179647
Serbia,8534688
Seychelles,224558
Sierra Leone,9155936
Singapore,14727569
Sint Maarten,66829
Slovakia,5754313
Slovenia,2996643
Solomon Islands,625956
Somalia,10555834
South Africa,41798812
S. Korea,129647782
South Sudan,4365547
Spain,105840320
Sri Lanka,40116590
Sudan,22598737
Suriname,505699
Sweden,28312817
Switzerland,16940716
Syrian Arab Republic,5090630
Taiwan,68158988
Tajikistan,20568163
Tanzania,39392419
Thailand,142635014
Timor-Leste,2028798
Togo,3423181
Tokelau,5374
Tonga,203208
Trinidad and Tobago,1580898
Tunisia,13253317
Turkey,152543341
Turkmenistan,16775970
Turks and Caicos Islands,73907
Tuvalu,26783
Uganda,26406936
Ukraine,35735488
UAE,24922054
UK,151248820
USA,676728782
Uruguay,9036273
Uzbekistan,83937954
Vanuatu,366638
Venezuela,37860994
Vietnam,266492149
Wallis and Futuna,18058
Yemen,1298654
Zambia,13454213
Zimbabwe,12222754
